Harekeli Kelime;Kelime;Anlam
"تَخَمُّرٌ";"تخمر";"Mayalanma, fermente olma"
"تَخَنْدَقَ";"تخندق";"Hendek kazdı, siperlendi"
"تَخْنِي";"تخني";"Beni boğuyorsun, beni sıkıyorsun"
"تَخْنِيكٌ";"تخنيك";"Teknik"
"تَخَوُّفٌ";"تخوف";"Korkma, endişelenme"
"تَخَوَّلَ";"تخول";"yetki verdi, izin verdi"
"تَخُونُ";"تخون";"ihanet ediyor, aldatıyor"
"تَخْوِيفٌ";"تخويف";"Korkutma, yıldırma"
"تَخِيبُ";"تخيب";"Hayal kırıklığına uğramak, başarısız olmak"
"تَخَيَّرَ";"تخير";"Seçti, tercih etti"
"تَخَيَّلَ";"تخيل";"Hayal etti, düşündü"
"تَخَيَّلْ";"تَخَيَّلْ";"Hayal et, tasavvur et"
"تَخْيِيرٌ";"تخيير";"Seçme hakkı tanıma, tercih ettirme"
"تَخْيِيلٌ";"تخييل";"Hayal etme, tasavvur etme"
"تَخْيِيمٌ";"تخييم";"Kamp yapma, kamp kurma"
"تَدَاخُلٌ";"تداخل";"İç içe geçme, karışma, müdahale etme"
"تَدَارَأَ";"تدارء";"Çekişti, tartıştı, birbirini itti"
"تَدَارَكَ";"تدارك";"Yetişmek, telafi etmek, düzeltmek"
"تُدَاعِبُ";"تداعب";"Okşuyor, şakalaşıyor"
"تَدَاعَى";"تداعى";"Yıkılmak, çökmek, birbirini çağırmak, yardımlaşmak"
"تَدَاعِي";"تداعي";"Yıkılma, çökme, bir araya gelme, toplanma"
"تَدَاعِيَاتٌ";"تداعيات";"Yansımalar, sonuçlar, etkiler"
"تَدَافَعَ";"تدافع";"İtişti, kakıştı, birbirini itti"
"تَدَافَعْنَا";"تَدَافَعْنَا";"İtiştik, birbirimizi ittik"
"تَدَاهَرَ";"تداهر";"Çökmek, yıkılmak, gerilemek"
"تَدَاوَلَ";"تداول";"Dolaşmak, elden ele geçmek, müzakere etmek, işlem görmek"
"تَدَاوَى";"تداوى";"Tedavi oldu, ilaçlandı"
"تَدَايَنَ";"تداين";"Borçlandı, borç aldı"
"تَدَايَنْتُمْ";"تَدَايَنْتُمْ";"Borçlandınız, birbirinize borç verdiniz"
"تَدَبُّرٌ";"تدبر";"Düşünme, derinlemesine düşünme, tefekkür, tedebbur"
"تَدْبِيجٌ";"تدبيج";"Süsleme, bezeme, güzelce yazma"
"تَدْبِيرٌ";"تدبير";"Tedbir, önlem, idare etme, düzenleme"
"تَدَثَّرَ";"تَدَثَّرَ";"Örtündü, giyindi"
"تَدَجَّلَ";"تدجل";"Aldattı, yalan söyledi, sahtekarlık yaptı"
"تَدَحْرَجَ";"تدحرج";"Yuvarlandı"
"تَدَحْرَجَتْ";"تدحرجت";"Yuvarlandı"
"تَدَّخِرُ";"تدخر";"Biriktiriyor, tasarruf ediyor"
"تَدَخَّلَ";"تدخل";"Müdahale etmek, karışmak"
"تَدَخُّلٌ";"تدخل";"Müdahale, karışma"
"تَدْخُلُ";"تَدْخُلُ";"Giriyor, girersin, giriyorsun"
"تَدَخَّلَتْ";"تدخلت";"Müdahale etti, karıştı"
"تُدَخِّنُ";"تدخن";"Sigara içiyor, duman çıkarıyor"
"تَدْخِينٌ";"تدخين";"Sigara içme, dumanlama"
"تَدُرُّ";"تدر";"Döner, döner durur, akar, akar durur"
"تَدَرَّبَ";"تدرب";"Eğitim aldı, antrenman yaptı"
"تُدَرِّبُ";"تُدَرِّبُ";"eğitiyor, öğretiyor"
"تَدَرَّبْتُ";"تدربت";"Eğitim aldım, antrenman yaptım"
"تَدَرُّجٌ";"تدرج";"Derece derece ilerleme, aşamalı olma, kademeli ilerleme"
"تَدَرُّجِيٌّ";"تدرجي";"Aşamalı, kademeli"
"تَدْرُسُ";"تدرس";"Ders çalışıyor, okuyor"
"تُدَرَّسُ";"تُدَرًسُ";"öğretiliyor, ders veriliyor"
"تُدَرِّسُ";"تُدَرِّسُ";"Ders veriyor, öğretiyor"
"تَدْرُسِينَ";"تَدْرُسِينَ";"Ders çalışıyorsun, okuyorsun"
"تُدْرِكُ";"تدرك";"idrak ediyor, anlıyor, fark ediyor"
"تَدْرِي";"تدري";"Biliyorsun, bilirsin"
"تَدْرِيبٌ";"تدريب";"Eğitim, alıştırma, idman"
"تَدْرِيبِيَّةٌ";"تدريبية";"Eğitimsel, antrenmanla ilgili, uygulamalı"
"تَدْرِيجٌ";"تَدْرِيج";"Derecelendirme, aşamalandırma, kademelendirme"
"تَدْرِيجِيٌّ";"تدريجي";"Aşamalı, kademeli"
"تَدْرِيسٌ";"تدريس";"Öğretme, ders verme"
"تَدْشِينٌ";"تدشين";"Açılış, temel atma, resmî açılış"
"تَدَعُ";"تدع";"Bırakıyor, terk ediyor"
"تَدْعَمُ";"تدعم";"Destekler, yardım eder"
"تَدَعْهَا";"تدعها";"Onu bırakır, onu terk eder"
"تَدْعُو";"تدعو";"davet ediyor, çağırıyor, dua ediyor"
"تَدْعُونَ";"تدعون";"Davet ediyorsunuz, çağırıyorsunuz, dua ediyorsunuz"
"تَدْعُونَا";"تدعونا";"Bizi çağırıyor, bize davet ediyor"
"تُدْعَى";"تدعى";"çağrılır, adlandırılır"
"تَدَفَّأَ";"تدفأ";"Isındı, ısınmak"
"تَدْفِئَةٌ";"تدفئة";"Isıtma, ısınma"
"تَدْفَعُ";"تدفع";"ödüyor, itiyor"
"تَدْفَعُهُ";"تدفعه";"Onu itiyor, onu ödüyor"
"تَدْفَعِينَ";"تدفعين";"ödüyorsun, itiyorsun"
"تَدَفُّقٌ";"تدفق";"Akış, fışkırma, sel"
"تَدُقُّ";"تدق";"Çalıyor, vuruyor"
"تَدْقِيقٌ";"تدقيق";"Denetleme, inceleme, kontrol etme"
"تَدُلُّ";"تدل";"işaret ediyor, gösteriyor"
"تَدْلِيكٌ";"تدليك";"Masaj, ovma"
"تَدْلِيلٌ";"تدليل";"Şımartma, nazlandırma, okşama"
"تَدَمَّرَ";"تدمَّر";"Yıkıldı, harap oldu"
"تَدْمُرُ";"تدمر";"Tadmur, Palmira"
"تَدْمَعُ";"تدمع";"Ağlıyor, gözleri yaşarıyor"
"تَدْمِيرٌ";"تدمير";"Yıkım, tahrip etme"
"تَدْمِيرِيَّةٌ";"تدميرية";"Yıkıcı, tahrip edici"
"تَدَنَّسَ";"تدنس";"Kirlendi, pis oldu"
"تُدْهِشُ";"تدهش";"Şaşırtıyor, hayrete düşürüyor"
"تَدَهَّنَ";"تدهن";"Yağlandı, sürüldü"
"تَدْهَنُ";"تَدْهِنُ";"yağlıyor, sürüyor"
"تَدَهْوُرٌ";"تدهور";"Kötüleşme, bozulma, gerileme"
"تَدُورُ";"تدور";"Dönüyor, dolaşıyor, etrafında dönüyor"
"تَدُومُ";"تدوم";"Sürer, devam eder"
"تُدَوِّنُ";"تدون";"kaydediyor, yazıyor"
"تَدْوِيرٌ";"تدوير";"Döndürme, geri dönüşüm, çevirme"
"تَدْوِينٌ";"تدوين";"Kaydetme, kayıt altına alma, derleme, yazma"
"تُدِيرُ";"تدير";"Yönetiyor, idare ediyor"
"تُدِيمُ";"تديم";"Sürdürmek, devam ettirmek"
"تَدِينُ";"تَدين";"Borçlu olmak, inanmak, din edinmek"
"تُذَاكِرُ";"تذاكر";"Ders çalışıyor, hatırlıyor"
"تَذَاكَرُ";"تذاکر";"Hatırlıyor, anımsıyor"
"تَذَبْذَبَ";"تذبذب";"Dalgalanmak, tereddüt etmek, sallanmak"
"تَذْبُلُ";"تذبل";"Solmak, kurumak"
"تَذْبِيرٌ";"تذبير";"Planlama, düzenleme, idare etme"
"تَذَرُ";"تذر";"Bırakıyor, terk ediyor"
"تَذَرُّعٌ";"تذرع";"Bahane bulma, sığınma, gerekçe gösterme"
"تَذَرُونَ";"تذرون";"Bırakıyorsunuz, terk ediyorsunuz"
"تَذْكَارِيَّةٌ";"تذكارية";"Hatıra, anı, hatıra eşyası"
"تَذَكَّرَ";"تذكر";"Hatırlamak, anımsamak"
"تَذَكَّرْ";"تَذَكَّرْ";"Hatırla, anımsa"
"تَذْكُرُ";"تَذْكُرُ";"Hatırlıyor, anıyor"
"تُذْكَرُ";"تُذكرُ";"Anılıyor, hatırlanıyor"
"تَذْكِرَةٌ";"تذكرة";"Bilet, hatıra, anı"
"تَذَكَّرْتَ";"تذكرت";"Hatırladın"
"تَذَكَّرْتُ";"تذكرت";"Hatırladım"
"تَذَكَّرْنِي";"تذكرني";"Beni hatırla"
"تَذْكُرَنِي";"تذْكُرَني";"Beni hatırlıyorsun, beni anıyorsun"
"تَذْكُرُنِي";"تذْكرني";"Beni hatırlıyorsun, beni anıyorsun"
"تَذَكَّرُونَ";"تذكّرون";"Hatırlıyorsunuz"
"تَذْكِيرٌ";"تذكير";"Hatırlatma, anımsatma"
"تُذِلُّ";"تُذِلُّ";"Aşağılıyor, zelil ediyor"
"تَذَلُّلٌ";"تذلل";"Alçalma, boyun eğme, zelil olma"
"تَذَمَّرَ";"تذمر";"Yakındı, şikayet etti"
"تَذَمَّمَ";"تذمم";"Sorumluluk üstlendi, korudu, himaye etti"
"تَذْهَبُ";"تَذْهبُ";"Gidiyor"
"تَذْهَبَانِ";"تَذْهَبانِ";"İkiniz gidiyorsunuz"
"تَذْهَبُونَ";"تذهبون";"Gidiyorsunuz, gideceksiniz"
"تَذْهَبِينَ";"تَذْهَبينَ";"gidiyorsun"
"تَذْهَلُ";"تَذْهَلُ";"şaşırıyor, unutuyor, gafil oluyor"
"تَذْهِيبٌ";"تذهيب";"Yaldızlama, altınlama"
"تَذُوبُ";"تذوب";"eriyor, çözülüyor"
"تَذُودَ";"تَذُودَ";"savunuyor, koruyor"
"تَذَوَّقَ";"تذوق";"Tattı, tadına baktı"
"تَذَوَّقْ";"تَذَوَّقْ";"Tat, tadına bak"
"تَذَوُّقِي";"تذوقي";"Tat, lezzet, tadına bakmak"
"تُذِيعُ";"تذيع";"Yayınlıyor, ilan ediyor, duyuruyor"
"تَرَاءَى";"تراءى";"Göründü, belirdi, birbirine göründü"
"تُرَابٌ";"تراب";"Toprak, toz"
"تُرَابِيٌّ";"ترابي";"Topraklı, toprağa ait, toprakla ilgili"
"تُرَاثٌ";"تراث";"Miras, kalıt"
"تُرَاثًا";"تراثا";"Miras, kalıt"
"تُرَاثِيٌّ";"تراثي";"Mirasla ilgili, geleneksel, kültürel"
"تَرَاجَعَ";"تراجع";"Geri çekilmek, gerilemek, vazgeçmek"
"تُرَاجِعُ";"تُرَاجِعُ";"Gözden geçiriyor, tekrar ediyor, inceliyor"
"تَرَاجَعَتْ";"تراجعت";"geri çekildi, azaldı, düştü"
"تَرَاجِي";"تراجي";"Umutlar, beklentiler"
"تَرَاخٍ";"تراخ";"Gevşeklik, ihmal, tembellik"
"تَرَاخَى";"تراخى";"Gevşedi, yavaşladı, ihmal etti"
"تَرَاسَلَ";"تراسل";"Yazışmak, mektuplaşmak"
"تَرَاضَوْا";"تَرَاضَوْ";"Razı oldular, anlaştılar"
"تُرَاعِينِي";"تُرَاعِني";"Bana bakıyorsun, beni gözetiyorsun"
"تَرَافَقَ";"ترافق";"eşlik etti, birlikte gitti"
"تُرَافِقُ";"تُرافق";"Eşlik ediyor, arkadaşlık ediyor"
"تُرَاقِبُ";"تُرِاقِبُ";"Gözetliyor, izliyor"
"تَرَاقَى";"تراقى";"Yükseldi, ilerledi, terfi etti"
"تَرَاكِبٌ";"تَرَاكِبٌ";"Üst üste binme, katmanlaşma"
"تَرَاكَمَ";"تراكم";"Birikti, yığıldı"
"تَرَاكُمٌ";"تراكم";"Birikme, yığılma, kümelenme"
"تَرَاكِيبُ";"تراكيب";"Yapılar, bileşimler, terkip edilmiş şeyler"
"تِرَامٌ";"ترام";"Tramvay"
"تَرَامَى";"ترامى";"Uzanmak, yayılmak, karşılıklı atmak"
"تَرَاوَحَ";"تراوح";"Değişmek, dalgalanmak, gidip gelmek"
"تَرَاوِيحُ";"تراويح";"Teravih namazı"
"تَرِبَ";"ترب";"Topraklandı, tozlandı"
"تِرْبٌ";"تِرب";"Akran, yaşıt"
"تُرْبَةٌ";"تربة";"Toprak, yer, arazi"
"تُرْبَدُ";"تُربدُ";"İstenir, aranır"
"تَرَبَّصَ";"تربص";"Bekledi, gözledi, pusu kurdu"
"تَرَبُّصٌ";"تَرَبُّصُ";"Bekleme, gözetleme, pusu kurma"
"تَرَبَّصْنَ";"تربصن";"Beklediler, gözlediler"
"تَرَبَّصُوا";"تَرَبَّصُوا";"Beklediler, gözlediler, pusu kurdular"
"تَرْبِطُ";"تربط";"Bağlar, bağlarız, bağlarsın"
"تَرَبَّعَ";"تربع";"Oturmak, tahta çıkmak, yerleşmek"
"تَرْبَوِيٌّ";"تربوي";"Eğitimsel, eğitsel, terbiye edici"
"تَرَبَّى";"تربى";"Eğitildi, yetiştirildi, büyüdü"
"تُرَبِّي";"تُرَبِّي";"terbiye ediyor, yetiştiriyor"
"تُرَبِّي";"تُربّي";"terbiye ediyor, yetiştiriyor"
"تَرْبِيَةٌ";"تربية";"Eğitim, terbiye, yetiştirme"
"تَرْبِيَةُ الْأَجْيَالِ";"تَرْبِيَةُ الْأَجْيَالِ";"Nesil yetiştirmek"
"تَرْبِيَةُ الْحَيَوَانَاتِ";"تربية الحيوانات";"Hayvan beslemek, hayvan yetiştirmek"
"تَرْبِيَةُ الْمَوَاشِي";"تربية المواشي";"Hayvancılık"
"تَرْبِيَةٌ إِسْلَامِيَّةٌ";"تَربِيةاسْسلاميّة";"İslam eğitimi, İslami terbiye"
"تَرَبَّيْتُ";"تَرَبَّيْتُ";"Eğitildim, terbiye edildim, büyüdüm"
"تَرْبِيَتُهَا";"تربيتها";"Onun eğitimi, onu yetiştirmesi"
"تَرْبِيعٌ";"تربيع";"Kare alma, kareleştirme"
"تَرْتَاحُ";"ترتاح";"Rahatlıyor, dinleniyor"
"تَرَتَّبَ";"ترتب";"Düzenlendi, sıralandı, sonuçlandı"
"تُرَتِّبُ";"تُرَتِّب";"düzenliyor, sıralıyor"
"تُرَتِّبُ";"تُرَتِّبُ";"düzenliyor, tertip ediyor"
"تَرْتَبِطُ";"ترتبط";"Bağlıdır, ilişkilidir"
"تَرْتَدِي";"ترتدي";"Giyiyor"
"تَرْتَفِعُ";"ترتفع";"yükseliyor, artıyor"
"تَرْتَكِزُ";"ترتكز";"dayanıyor, esas alıyor, merkezleniyor"
"تَرْتِيبٌ";"ترتيب";"Düzenleme, sıralama, tertip"
"تَرْتِيبَاتٌ";"ترتيبات";"Düzenlemeler, tertibatlar"
"تَرْتِيبُهَا";"تَرْتِيبها";"Onun düzeni, onun sıralaması"
"تَرْتِيبِيَّةٌ";"ترتيبية";"Sırasal, düzenleyici, tertipleyici"
"ثَرْثَارٌ";"ترثار";"Geveze, çok konuşan"
"تَرَجَّحَ";"ترجح";"Tercih etti, ağır bastı, sallandı"
"تَرْجِعُ";"ترجع";"Geri dönüyor, döner"
"تُرَجَّعُ";"تُرَجَّع";"geri döndürülüyor, iade ediliyor"
"تَرْجِعُ إِلَى";"ترجع ألى";"Dönüyor, geri dönüyor, başvuruyor"
"تَرْجِعُونَ";"ترجعون";"Döneceksiniz, geri dönersiniz"
"تَرْجُفُ";"ترجف";"Titriyor, ürperiyor"
"تَرَجَّلَ";"ترجل";"attı, indi, yaya yürüdü"
"تَرْجَمَ";"ترجم";"Çevirdi, tercüme etti"
"تَرْجَمَةٌ";"ترجمة";"Çeviri, tercüme"
"تَرْجَمُوا";"ترجموا";"Tercüme ettiler, çevirdiler"
"تَرْجُونَ";"ترجون";"Umut ediyorsunuz, bekliyorsunuz"
"تَرْجُوهُمْ";"ترجوهم";"Onlardan umuyorlar, onlardan rica ediyorlar"
"تَرَجِّي";"ترجي";"Umut etmek, dilemek, rica etmek"
"تَرْجِيحٌ";"ترجيح";"Tercih etme, yeğleme, ağır basma"
"تَرْجِيعٌ";"ترجيع";"Geri verme, iade etme, kusma"
"تَرَحٌ";"ترَح";"Üzüntü, keder, tasa"
"تَرِحَ";"تَرِحَ";"üzüldü, kederlendi"
"تَرْحَالٌ";"ترحال";"Göç, seyahat, yolculuk"
"تِرْحَالٌ";"ترحال";"Göç, yolculuk, seyahat"
"تَرْحَبُ";"ترحب";"Hoş geldin diyor, ağırlıyor"
"تَرْحَبُونَ";"ترحبون";"Hoş geldiniz dersiniz, karşılarsınız"
"تَرَحَّلَ";"ترحّل";"Göç etti, yolculuk etti, ayrıldı"
"تَرْحِيبٌ";"ترحيب";"Karşılama, hoş geldin deme"
"تَرَخَّصَ";"ترخص";"İzin aldı, ruhsat aldı, ruhsatlandı"
"تَرْخِيصٌ";"ترخيص";"Ruhsatlandırma, izin verme"
"تَرَدَّ";"ترد";"Geri dönmek, tereddüt etmek, çekinmek"
"تَرِدُ";"ترد";"Gelir, ulaşır, varır"
"تُرَدُّ";"ترد";"Geri çevrilir, iade edilir"
"تَرَدُّدٌ";"تردد";"Tereddüt, duraksama, gidip gelme"
"تُرَدُّونَ";"تردون";"Geri döndürülüyorsunuz, geri çevriliyorsunuz"
"تَرَدَّى";"تردى";"Kötüleşti, geriledi, düştü"
"تَرَدِّي";"تردّي";"Kötüleşme, bozulma, gerileme"
"تَرْدِيدٌ";"ترديد";"Tekrarlama, yineleme"
"تَرْدِيدًا";"تَرْدِيدًا";"Tekrarlama, yineleme"
"تَرْزَخُ";"ترزخ";"Yük altında eziliyor, sıkıntı çekiyor"
"تُرْزَقُ";"ترزق";"Rızıklandırılır, rızık verilir"
"تُرْزَقَا";"تُرْزَقا";"Rızıklandırılırsınız, rızıklandırılmanız"
"تَرْزِيٌّ";"ترزي";"Terzi"
"تَرَسَ";"ترس";"Korktu, ürktü"
"تَرَسَّبَ";"ترسب";"Çökeldi, birikti"
"تَرَسُّبٌ";"ترسب";"Çökelti, tortu, birikme"
"تَرَسُّبَاتٌ";"ترسبات";"Tortular, çökeltiler, birikintiler"
"تَرَسَّخَ";"ترسخ";"Pekişti, kökleşti, sağlamlaştı"
"تَرَسَّلَ";"تَرَسَّلَ";"Yavaş yavaş okudu, acele etmeden konuştu"
"تُرْسِلُ";"ترسل";"Gönderir, yollar"
"تَرْسُمُ";"ترسم";"çiziyor, resmediyor"
"تَرْسِيخٌ";"ترسيخ";"Pekiştirme, sağlamlaştırma, kökleştirme"
"تُرْشِدُ";"ترشد";"yol gösteriyor, rehberlik ediyor"
"تَرْشِيحٌ";"ترشيح";"Aday gösterme, adaylık, filtreleme"
"تَرْشِيدٌ";"ترشيد";"Rasyonelleştirme, akılcılaştırma, tasarruf etme"
"تَرَضَّ";"ترض";"Razı oldu, hoşnut oldu"
"تَرْضَوْنَ";"ترضون";"Razı oluyorsunuz, hoşnut oluyorsunuz"
"تَرْضَى";"ترضى";"Razı olur, hoşnut olur"
"تَرْضِيَةٌ";"ترضية";"Memnun etme, razı etme, tatmin etme"
"تَرِعَ";"ترع";"Acele etti, çabuk davrandı"
"تَرْعَى";"ترعا";"Gözetiyor, koruyor, otlatıyor"
"تَرْعَاهُ";"ترعاه";"Ona bakıyor, onu gözetiyor"
"تُرْعَةٌ";"ترعة";"Kanal, ark, su yolu"
"تَرْعُدُ";"ترعد";"Gürlüyor, titriyor"
"تَرَعْرَعَ";"ترعرع";"Büyüdü, gelişti, yetişti"
"تَرْعَيَانِ";"ترعيان";"İkisi otlatıyor, ikisi bakıyor, ikisi gözetiyor"
"تَرْغَبُ";"ترغب";"İstiyor, arzu ediyor"
"تَرْغَبُ عَنْ";"ترغب عن";"Vazgeçiyor, yüz çeviriyor, istemiyor"
"تَرْغِيبٌ";"ترغيب";"Teşvik etme, heveslendirme, özendirme"
"تَرَفٌ";"ترف";"Lüks, refah, bolluk"
"تُرَفْرِفُ";"ترفرف";"Dalgalanıyor, çırpınıyor"
"تَرْفُضُ";"ترفض";"Reddediyor, geri çeviriyor"
"تَرْفُضْنَ";"ترفضن";"Reddediyorlar (dişi çoğul), reddedersiniz (dişi çoğul)"
"تَرَفَّعَ";"ترفع";"Yüceldi, yükseldi, uzaklaştı, kaçındı"
"تَرْفَعُ";"ترْفِعٌ";"Kaldırıyor, yükseltiyor"
"تَرَفَّقَ";"ترفق";"Yumuşak davrandı, nazik oldu, yavaş davrandı"
"تَرَفَهُ";"ترفه";"Lüks içinde yaşadı, refah içinde oldu"
"تَرَفَّهَ";"ترفَّه";"Rahat etti, keyif sürdü, lüks içinde yaşadı"
"تَرْفِيعٌ";"ترفيع";"Yükseltme, terfi ettirme"
"تَرْفِيهٌ";"ترفيه";"Eğlence, dinlence"
"تَرْفِيهِيٌّ";"ترفيهي";"Eğlenceli, eğlenceye ait"
"تَرْفِيهِيَّةٌ";"ترفيهية";"Eğlencelik, eğlenceye ait"
"تَرَقَّبَ";"ترقب";"Bekledi, gözledi, umdu"
"تَرْقُدُ";"ترقد";"Uyumak, yatmak"
"تَرْقُصُ";"ترقص";"Dans ediyor"
"تَرَقُّقٌ";"ترقق";"İncelme, yumuşama"
"تَرْقُوَةٌ";"ترقوة";"Köprücük kemiği"
"تَرَقَّى";"ترقى";"Yükseldi, terfi etti"
"تَرَقٍّ";"ترقّي";"Yükselme, ilerleme, terfi etme"
"تَرْقِيصٌ";"ترقيص";"Oynatma, dans ettirme"
"تَرْقِيقٌ";"ترقيق";"İnceltme, yumuşatma"
"تَرْقِيمٌ";"ترقيم";"Numaralandırma, noktalama"
"تَرَكَ";"ترك";"Terk etmek, bırakmak, vazgeçmek"
"تَرِكَ";"تَرِكَ";"Terk etti, bıraktı"
"تَرْكٌ";"ترك";"Bırakma, terk etme"
"تُرِكَ";"تُرِكَ";"terk edildi"
"تَرْكِيزٌ";"تركiz";"Odaklanma, yoğunlaşma, konsantrasyon"
"تَرَكَّبَ";"تركّب";"Birleşti, oluştu, kuruldu"
"تَرْكَبُ";"تركب";"Biniyor, monte ediyor, kuruyor"
"تُرْكَبُ";"تُرْكَب";"Biniliyor, üzerine biniliyor"
"تَرَكَتْ";"تركت";"Bıraktı, terk etti"
"تَرَكْتُ";"تركت";"Bıraktım, terk ettim"
"تُرِكَتْ";"تُرِكَت";"terk edildi, bırakıldı"
"تَرَكَّزَ";"تركز";"Odaklandı, yoğunlaştı"
"تُرَكِّزُ عَلَى";"تركز على";"Odaklanıyor, yoğunlaşıyor"
"تَرْكُضُ";"تركض";"Koşuyor"
"تَرَكَمَ";"تركم";"Birikti, yığıldı"
"تَرْكَنُوا";"تَرْكَنُوا";"Yaslanmayın, güvenmeyin, meyletmeyin"
"تَرَكَنِي";"تَرَكَنِي";"Beni terk etti, beni bıraktı"
"تَرَكَهُ";"تركه";"bıraktı, terk etti"
"تُرْكِيٌّ";"تركي";"Türk, Türkiyeli"
"تُرْكِيَا";"تركيا";"Türkiye"
"تَرْكِيبٌ";"تركيب";"Kurulum, montaj, bileşim, terkip"
"تَرْكِيبَةٌ";"تركيبة";"Bileşim, terkip, yapı"
"تَرْكِيزَاتٌ";"تركيزات";"Konsantrasyonlar, yoğunlaşmalar"
"تَرْمِي";"ترم";"Atıyor, fırlatıyor, hedefliyor"
"تَرَمُّلٌ";"ترمل";"Dul kalma, dul olma"
"تَرْمِيمٌ";"ترميم";"Onarım, restorasyon"
"تَرْمِيمَاتٌ";"ترميمات";"Onarımlar, restorasyonlar"
"تُرَّهَاتٌ";"ترهات";"Saçmalıklar, boş sözler, anlamsız şeyler"
"تُرْهِقُ";"ترهق";"yoruyor, yıpratıyor, ağır geliyor"
"تَرْهَقُهُمْ";"ترهقهم";"Onları kuşatır, onları kaplar, onları yorar"
"تَرَهْوَكَ";"تَرَهوَكَ";"Sallandı, yalpalamak"
"تَرْهِيبٌ";"ترهيب";"Korkutma, yıldırma, dehşete düşürme"
"تَرَوَّ";"تروّ";"Düşündü, tefekkür etti, acele etmedi"
"تَرْوٌ";"ترو";"Sulama, suya doyurma"
"تَرُوجُ";"تروج";"Pazarlanıyor, yayılıyor, revaçta oluyor"
"تَرَوَّحَ";"تروَّح";"Dinlendi, rahatladı"
"تَرُوحُ";"تروح";"Gidiyor, gidiyorsun"
"تُرَوِّحُ";"تروِّح";"Dinlendiriyor, rahatlatıyor"
"تَرَوْنَ";"تَرُونَ";"Görüyorsunuz"
"تَرْوِي";"تروي";"Anlatıyor, rivayet ediyor, suluyor"
"تَرْوِيجٌ";"ترويج";"Tanıtım, promosyon, pazarlama"
"تَرْوِيحٌ";"ترويح";"Eğlence, dinlenme, rahatlama"
"تَرْوِيحِيٌّ";"ترويحي";"Eğlenceye ait, dinlendirici, eğlendirici"
"تَرْوِيضٌ";"ترويض";"Evcilleştirme, terbiye etme, alıştırma"
"تَرْوِيعٌ";"ترويع";"Korkutma, dehşete düşürme"
"تَرْوِيَةٌ";"ترويه";"Sulama, suya doyurma, hikaye anlatma"
"تَرَى";"ترى";"Görür, görüyorsun"
"تُرَى";"تُرى";"Görülüyor, sanılıyor, acaba"
"تِرْيَاقٌ";"ترياق";"Panzehir, tiryak"
"تَرَيُّثٌ";"تريث";"Acele etmeme, yavaşlama, bekleme"
"تُرِيدُ";"تريد";"İstiyor, arzu ediyor"
"تُرِيدَانِ";"تُرِيدَانِ";"İki erkek/kadın istiyorlar"
"تُرِيدُونَ";"تريدون";"İstiyorsunuz, diliyorsunuz"
"تُرِيدِينَ";"تريدين";"İstiyorsun, diliyorsun"
"تَزَاحُمٌ";"تزاحم";"Kalabalıklaştı, izdiham oldu"
"تَزَالُ";"تزال";"Hala, devam ediyor, olmaya devam ediyor"
"تَزَامًا";"تزاما";"Eş zamanlı olarak, aynı anda"
"تَزَامُنٌ";"تزامن";"Eş zamanlılık, aynı anda meydana gelme"
"تَزَايَدَ";"تزايد";"Artmak, çoğalmak, yükselmek"
"تَزَايَدَتْ";"تزايدة";"Arttı, çoğaldı"
"تَزَبَّبَ";"تزَبَّب";"Kuru üzüm olmak, kurumak"
"تَزَحْزَحَ";"تزحزح";"Yerinden oynadı, kımıldadı, çekildi"
"تَزَحْلَقَ";"تزحلق";"Kaydı, kaydırakta kaydı"
"تَزْخَرُ";"تَزْخَرُ";"Taşıyor, dolup taşıyor, zenginleşiyor"
"تَزْدَادُ";"تزداد";"artıyor, çoğalıyor"
"تَزْدَحِمُ";"تزدحم";"Kalabalıklaşıyor, izdiham oluyor"
"تَزْدَحِمُونَ";"تزدحمون";"Kalabalıklaşıyorsunuz, sıkışıyorsunuz"
"تَزْدَهِرُ";"تزدهر";"Gelişir, ilerler, çiçek açar"
"تَزْدَهِي";"تزدهي";"parlıyor, süsleniyor, gelişiyor"
"تَزِرُ";"تزر";"Yüklenir, taşır"
"تَزْرَعُ";"تزرع";"Ekiyor, dikiyor"
"تَزْرَعُونَ";"تزرعون";"Ekiyorsunuz, biçiyorsunuz"
"تَزْعَلِي";"تزعلي";"Üzülüyorsun (dişil tekil), darılıyorsun (dişil tekil)"
"تَزْعُمُ";"تزعم";"İddia ediyor, sanıyor, liderlik ediyor"
"تُزَقْزِقُ";"تزقزق";"Cıvıldıyor, ötüyor"
"تُزَكُّونَ";"تزكون";"Temizliyorsunuz, arındırıyorsunuz, zekat veriyorsunuz"
"تَزْكِيَةٌ";"تزكية";"Temize çıkarma, arındırma, övme, tavsiye etme"
"تَزَلُّجٌ";"تزلج";"Kayma, paten yapma, kayak yapma"
"تَزَلَّجَتْ";"تزلجت";"Kaydı, paten yaptı"
"تَزَلْزَلَ";"تزلزل";"Sarsıldı, sallandı"
"تَزَلُّفًا";"تزلفا";"Yaltaklanma, dalkavukluk yapma"
"تَزَمَّرَ";"تزمر";"Homurdandı, şikayet etti"
"تَزَهَّبَ";"تَزَهَّبَ";"Hazırlandı, donandı"
"تَزْهَبُ";"تَزْهَبُ";"gidiyor"
